gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsgb_21015,Leader Water at Earlston,Scotland,55.64080061281626,-2.6929128448120925,238.1606233577271
camelsgb_21016,Eye Water at Eyemouth Mill,Scotland,55.86522742839082,-2.094483974691685,118.44936905031948
camelsgb_21018,Lyne Water at Lyne Station,Scotland,55.647381292873455,-3.2576458868502383,173.27794888948827
camelsgb_21022,Whiteadder Water at Hutton Castle,Scotland,55.788283908336886,-2.1916976922689817,500.2390476164661
camelsgb_21023,Leet Water at Coldstream,Scotland,55.650136998495874,-2.256123623621138,112.50205877972904
camelsgb_21024,Jed Water at Jedburgh,Scotland,55.48489862895872,-2.5460645223261804,139.402887561404
camelsgb_21027,Blackadder Water at Mouth Bridge,Scotland,55.770271280351245,-2.279465304619633,154.72382157223768
camelsgb_22001,Coquet at Morwick,England,55.33357356294136,-1.6320088310935386,576.0215876991286
camelsgb_22006,Blyth at Hartford Bridge,England,55.11383399731517,-1.6207045719086235,272.6270182198956
camelsgb_22007,Wansbeck at Mitford,England,55.1661212638132,-1.727499330184889,280.931981038468
camelsgb_22009,Coquet at Rothbury,England,55.30844656531837,-1.8959051862671064,344.6495472056027
camelsgb_23004,South Tyne at Haydon Bridge,England,54.97643907398292,-2.225629383853488,747.0603252324032
camelsgb_23006,South Tyne at Featherstone,England,54.9431509705972,-2.5132961916850345,321.8349559510488
camelsgb_23007,Derwent at Rowlands Gill,England,54.91726715942893,-1.7392126139491542,243.07876191095303
camelsgb_23008,Rede at Rede Bridge,England,55.14309046642182,-2.2080419938455926,343.86842717375134
camelsgb_24001,Wear at Sunderland Bridge,England,54.733889681596686,-1.589674706155212,658.7222313782974
camelsgb_24003,Wear at Stanhope,England,54.74631637274228,-2.0269048604681226,172.85265477424667
camelsgb_24005,Browney at Burnhall,England,54.74249460542856,-1.599156135928296,178.31655453196657
camelsgb_25001,Tees at Darlington Broken Scar,England,54.51837066532156,-1.6010590535184968,844.5621667281509
camelsgb_25020,Skerne at Preston le Skerne,England,54.60834548266417,-1.5492912029136785,152.20246669458993
camelsgb_25029,Leven at Foxton Bridge,England,54.47774840809957,-1.2985573751155477,183.17220272465755
camelsgb_26005,Gypsey Race at Boynton,England,54.09315126983984,-0.2633035779897152,247.18007117954764
camelsgb_26009,West Beck at Snakeholme Lock,England,53.9853516249506,-0.3747530521776783,194.86883135538395
camelsgb_27001,Nidd at Hunsingore Weir,England,53.97122548073767,-1.3489816601962457,492.1550861293822
camelsgb_27002,Wharfe at Wetherby Flint Mill,England,53.92022648876682,-1.3587129083140157,756.3297925040414
camelsgb_27003,Aire at Beal Weir,England,53.72295686886301,-1.1976628916618577,1929.1644424086303
camelsgb_27006,Don at Sheffield Hadfields,England,53.41396429521579,-1.415758221505469,363.6188551092718
camelsgb_27007,Ure at Westwick Lock,England,54.0980939715514,-1.4571414058412673,909.2894047397216
camelsgb_27021,Don at Doncaster,England,53.52933582087218,-1.1419323824077428,1248.524915264151
camelsgb_27023,Dearne at Barnsley Weir,England,53.56097065804782,-1.4735347071279008,119.14035652112588
camelsgb_27025,Rother at Woodhouse Mill,England,53.36684941417766,-1.3520514393295318,353.71709150843736
camelsgb_27026,Rother at Whittington,England,53.26575511264375,-1.4116624117261904,166.46125121416569
camelsgb_27029,Calder at Elland,England,53.69399260771463,-1.8131721526011464,339.5538564981271
camelsgb_27030,Dearne at Adwick,England,53.51272496579846,-1.2825123476195328,309.89403878454914
camelsgb_27034,Ure at Kilgram Bridge,England,54.2692050612952,-1.7088146914477849,509.0796447424594
camelsgb_27035,Aire at Kildwick Bridge,England,53.90731315400616,-1.9846509085004973,282.3778702350994
camelsgb_27041,Derwent at Buttercrambe,England,54.01924391420036,-0.8856170634043574,1588.255463537886
camelsgb_27043,Wharfe at Addingham,England,53.93971711015201,-1.8621643806412207,428.4638487091272
camelsgb_27049,Rye at Ness,England,54.20381829447295,-0.9369676117965942,236.73271407492703
camelsgb_27062,Nidd at Skip Bridge,England,53.99850796129059,-1.2654928538338612,521.615268356516
camelsgb_27065,Holme at Queens Mill,England,53.63811316241164,-1.7862706045881662,100.36543354202684
camelsgb_27071,Swale at Crakehill,England,54.15411717950981,-1.3506945244018376,1349.4685142282376
camelsgb_27079,Calder at Methley,England,53.72606586424215,-1.382691323872729,946.8724098763072
camelsgb_27080,Aire at Oulton Lemonroyd,England,53.74850181156058,-1.422669004617538,858.5220248375102
camelsgb_27087,Derwent at Low Marishes,England,54.18566618263285,-0.7251742097508402,474.1081636283665
camelsgb_27089,Wharfe at Tadcaster,England,53.89092062538823,-1.275611678855182,812.4251107863286
camelsgb_27090,Swale at Catterick Bridge,England,54.3888216333136,-1.6532099970240497,495.739207803376
camelsgb_28001,Derwent at Yorkshire Bridge,England,53.36231615207163,-1.7037884505063656,126.26907364212896
camelsgb_28003,Tame at Water Orton,England,52.52075950329266,-1.7517729843292464,404.2940149923305
camelsgb_28008,Dove at Rocester Weir,England,52.954290782377946,-1.834143315424624,396.6440552816592
camelsgb_28012,Trent at Yoxall,England,52.75693046755315,-1.805702628083788,1202.6163664990102
camelsgb_28015,Idle at Mattersey,England,53.39800708297371,-0.9636038055899292,526.3461521260419
camelsgb_28018,Dove at Marston on Dove,England,52.85653358560577,-1.648875039542886,881.1180232633465
camelsgb_28023,Wye at Ashford,England,53.2238573728084,-1.7281095627477503,151.75509306338958
camelsgb_28024,Wreake at Syston Mill,England,52.70632222208392,-1.0910695386499178,415.5921808619998
camelsgb_28026,Anker at Polesworth,England,52.627187664375015,-1.613187312748342,370.3626908784647
camelsgb_28031,Manifold at Ilam,England,53.053556523031936,-1.7928853154937117,147.64535191048472
camelsgb_28043,Derwent at Chatsworth,England,53.211668409223314,-1.6112413626127668,343.15846755399366
camelsgb_28048,Amber at Wingfield Park,England,53.06393181226491,-1.441260660904479,128.20206030600374
camelsgb_28050,Torne at Auckley,England,53.50371665901876,-1.0278192834991755,129.73701605635534
camelsgb_28052,Sow at Great Bridgeford,England,52.84020318294803,-2.1743942941822705,141.2924657663208
camelsgb_28066,Cole at Coleshill,England,52.48386184970884,-1.7338682274579904,118.98847964643086
camelsgb_28067,Derwent at Church Wilne,England,52.88051128706998,-1.3456952134779034,1172.629210597974
